,Author,Journal,"Number of citations","Pubmed id","Reference describes",Title,Volume,Year,"Modification date"
"10.1007/978-3-540-74972-1 46","Falgueras J,Lara AJ,Cantón FR,Pérez-Trabado G,Claros MG","Innovations in Hybrid Intelligent Systems",,,SeqTrim,"SeqTrim — A Validation and Trimming Tool for All Purpose Sequence Reads",44,2008,"3 December 2009 17:08:12"
10325427,"Delcher AL,Kasif S,Fleischmann RD,Peterson J,White O,Salzberg SL","Nucleic Acids Research",169," 10325427",MUMmer,"Alignment of whole genomes",27,1999,"11 August 2011 23:46:37"
10547834,"Staden R,Beal KF,Bonfield JK.","Methods Mol Biol",316," 10547834",STADEN,"The Staden package, 1998.",132,2000,"3 September 2010 10:28:11"
11591649,"Ning Z,Cox AJ,Mullikin JC.","Genome Research",400," 11591649",SSAHA,"SSAHA: a fast search method for large DNA databases.",11,2001,"21 September 2009 10:06:55"
11779843,"Batzoglou S,Jaffe DB,Stanley K,Butler J,Gnerre S,Mauceli E,Berger B,Mesirov JP,Lander ES","Genome Research",180," 11779843",Arachne,"ARACHNE: a whole-genome shotgun assembler.",12,2002,"22 September 2011 23:07:34"
11836205,"Bonfield JK,Staden R",Bioinformatics,2," 11836205",STADEN,"ZTR: a new format for DNA sequence trace data.",18,2002,"5 August 2010 08:35:04"
11836229,"Bonfield JK,Beal KF,Betts MJ,Staden R",Bioinformatics,4," 11836229",STADEN,"Trev: a DNA trace editor and viewer",18,2002,"5 August 2010 08:35:36"
11932250,"Kent WJ","Genome Research","2,319"," 11932250",BLAT,"BLAT--the BLAST-like alignment tool.",12,2002,"20 August 2011 16:50:56"
12034836,"Delcher AL,Phillippy A,Carlton J,Salzberg SL","Nucleic Acids Research",228," 12034836",MUMmer,"Fast algorithms for large-scale genome alignment and comparison.",30,2002,"11 August 2011 23:46:47"
12519973,"Overbeek R,Larsen N,Walunas T,D'Souza M,Pusch G,Selkov E Jr,Liolios K,Joukov V,Kaznadzey D,Anderson I,Bhattacharyya A,Burd H,Gardner W,Hanke P,Kapatral V,Mikhailova N,Vasieva O,Osterman A,Vonstein V,Fonstein M,Ivanova N,Kyrpides N.","Nucleic Acids Research",125," 12519973","ERGO Genome Analysis and Discovery System","The ERGO genome analysis and discovery system.",,2003,"28 August 2013 19:57:50"
12824379,"Ambrosini G,Praz V,Jagannathan V,Bucher P.","Nucleic Acids Res.",5," 12824379",SSA,"Signal search analysis server.",31(13),2003,"17 November 2011 11:24:45"
1457811,"Dear S,Staden R","DNA Sequence",14," 1457811",STADEN,"A standard file format for data from DNA sequencing instruments.",3,1992,"11 August 2011 23:54:48"
14707177,"Pop M,Kosack DS,Salzberg SL","Genome Research",75," 14707177",Bambus,"Hierarchical scaffolding with Bambus",14,2004,"12 September 2011 01:08:56"
14759262,"Kurtz S,Phillippy A,Delcher AL,Smoot M,Shumway M,Antonescu C,Salzberg SL.","Genome Biology",825," 14759262",MUMmer,"Versatile and open software for comparing large genomes.",5,2004,"21 September 2009 09:42:40"
14769938,"Istrail S,Sutton GG,Florea L,Halpern AL,Mobarry CM,Lippert R,Walenz B,Shatkay H,Dew I,Miller JR,Flanigan MJ,Edwards NJ,Bolanos R,Fasulo D,Halldorsson BV,Hannenhalli S,Turner R,Yooseph S,Lu F,Nusskern DR,Shue BC,Zheng XH,Zhong F,Delcher AL,Huson DH,Kravitz SA,Mouchard L,Reinert K,Remington KA,Clark AG,Waterman MS,Eichler EE,Adams MD,Hunkapiller MW,Myers EW,Venter JC",PNAS,72," 14769938",ATAC,"Whole-genome shotgun assembly and comparison of human genome assemblies.",101,2004,"11 August 2011 23:35:02"
15140833,"Chevreux B,Pfisterer T,Drescher B,Driesel AJ,Müller WE,Wetter T,Suhai S.","Genome Research",291," 15140833",MIRA,"Using the miraEST assembler for reliable and automated mRNA transcript assembly and SNP detection in sequenced ESTs.",14,2004,"21 September 2009 09:11:51"
