,"URL describes","URL type","Modification date",URL
".NET BIO/URL 0",".NET BIO",Homepage,"23 February 2014 00:45:03",http://bio.codeplex.com/
"/URL 0",IGV,Description,"23 August 2015 13:52:04",http://www.broadinstitute.org/igv/bam
"4peaks/URL 0",4peaks,Homepage,"5 September 2011 12:07:57",http://www.mekentosj.com/science/4peaks
"A5/URL 0",A5,"Publication full text","6 February 2014 08:07:50",http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0042304
"AB Large Indel Tool/URL 0","AB Large Indel Tool",Homepage,"21 December 2009 21:40:01",http://solidsoftwaretools.com/gf/project/large_indel/
"AB Small Indel Tool/URL 0","AB Small Indel Tool",Homepage,"21 December 2009 21:42:39",http://solidsoftwaretools.com/gf/project/indel/
"AB Small Indel Tool/URL 1","AB Small Indel Tool",Manual,"25 February 2014 14:40:05",https://tools.lifetechnologies.com/content/sfs/manuals/cms_082377.pdf
"AB Small Indel Tool/URL 2","AB Small Indel Tool",Manual,"25 February 2014 14:41:35",https://tools.lifetechnologies.com/content/sfs/manuals/cms_082377.pdf
"ABBA/URL 0",ABBA,Homepage,"21 September 2009 09:23:49",http://amos.sourceforge.net/docs/pipeline/abba.html
"ABMapper/URL 0",ABMapper,"Source code","3 January 2011 19:13:58",http://abmapper.sourceforge.net/
"ABySS/URL 0",ABySS,Homepage,"19 August 2009 07:52:53",http://www.bcgsc.ca/platform/bioinfo/software/abyss
"ABySS/URL 2",ABySS,"Mailing list","9 February 2012 20:54:39",http://groups.google.com/group/abyss-users
"ABySS/URL 4",ABySS,Manual,"9 February 2012 20:44:46",http://manpages.ubuntu.com/abyss-pe.1
"ABySS/URL 5",ABySS,HOWTO,"24 February 2012 17:58:53",http://www.bcgsc.ca/downloads/abyss/doc/
"ACE/URL 0",ACE,Description,"22 September 2011 22:48:32",http://en.wikipedia.org/wiki/ACE_file_format
"ADTEx/URL 0",ADTEx,Homepage,"13 October 2014 05:48:10",http://adtex.sourceforge.net/
"ADTEx/URL 1",ADTEx,Manual,"13 October 2014 05:49:38",http://sourceforge.net/projects/adtex/files/User%20Guide/
"ADTEx/URL 2",ADTEx,"Publication full text","13 October 2014 05:51:10",http://www.biomedcentral.com/1471-2164/15/732
"ADTEx/URL 3",ADTEx,Manual,"13 October 2014 06:02:29",http://sourceforge.net/projects/adtex/files/User%20Guide/
"ADTEx/URL 4",ADTEx,Manual,"13 October 2014 08:39:28",http://sourceforge.net/projects/adtex/files/User%20Guide/
"ADTEx/URL 5",ADTEx,"Publication full text","13 October 2014 08:40:42",http://www.biomedcentral.com/1471-2164/15/732
"AFG/URL 0",AFG,Description,"28 December 2011 23:23:18",https://sourceforge.net/apps/mediawiki/amos/index.php?title=Message_Types
"AGE/URL 0",AGE,Homepage,"28 January 2011 20:12:00",http://sv.gersteinlab.org/age
